epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,261.398,1.1108,1.44871,1.03715,0.7468,0.45007,0.48671,0.34148,1.12571,1.18012,1.04336,0.00333179,0.00333179,0.00333179
2,512.292,1.04334,0.94211,0.98917,0.78474,0.45388,0.52679,0.37336,1.09985,1.09575,1.03617,0.00659914,0.00659914,0.00659914
3,762.152,1.04842,0.87233,0.99123,0.76153,0.48885,0.5449,0.37125,1.18333,1.13697,1.06796,0.00980049,0.00980049,0.00980049
4,1011.04,1.02701,0.80239,0.98806,0.71353,0.48916,0.5638,0.39089,1.16276,1.08559,1.06848,0.009703,0.009703,0.009703
5,1259.89,0.97439,0.72633,0.97154,0.53064,0.5419,0.53595,0.37177,1.14545,1.06585,1.06234,0.009604,0.009604,0.009604
6,1507.6,0.94053,0.67926,0.96345,0.7033,0.51895,0.57075,0.40075,1.14392,1.17822,1.07144,0.009505,0.009505,0.009505
7,1756.13,0.91651,0.64735,0.95278,0.56149,0.5147,0.54555,0.37869,1.14715,1.03556,1.05818,0.009406,0.009406,0.009406
8,2003.98,0.89641,0.62459,0.9449,0.57296,0.50655,0.54315,0.3802,1.08805,1.05554,1.04507,0.009307,0.009307,0.009307
9,2252.57,0.88067,0.60402,0.94082,0.53791,0.60676,0.58237,0.40676,1.11715,0.99274,1.04977,0.009208,0.009208,0.009208
10,2500.91,0.8687,0.58848,0.93627,0.63513,0.50795,0.55803,0.40025,1.08892,1.02492,1.04482,0.009109,0.009109,0.009109
11,2749.23,0.86585,0.5751,0.9345,0.62495,0.57361,0.58567,0.41368,1.10603,1.02898,1.0487,0.00901,0.00901,0.00901
12,2999.42,0.84948,0.56427,0.92779,0.55573,0.5945,0.59222,0.41815,1.12555,1.09672,1.06023,0.008911,0.008911,0.008911
13,3247.22,0.8456,0.55433,0.92693,0.67608,0.5197,0.54752,0.39315,1.09833,1.0389,1.04279,0.008812,0.008812,0.008812
14,3495.07,0.838,0.54834,0.92546,0.6153,0.53616,0.56932,0.40772,1.08176,0.97679,1.03502,0.008713,0.008713,0.008713
15,3742.5,0.83017,0.53895,0.92038,0.65414,0.53996,0.56286,0.40447,1.08262,0.95753,1.03756,0.008614,0.008614,0.008614
16,3990.99,0.82438,0.53192,0.91915,0.60258,0.54658,0.55485,0.4,1.10082,1.04563,1.03942,0.008515,0.008515,0.008515
17,4238.08,0.81805,0.52482,0.91651,0.61143,0.51893,0.57568,0.41013,1.09602,0.99989,1.0415,0.008416,0.008416,0.008416
18,4486.11,0.81387,0.5203,0.91463,0.66556,0.51463,0.57524,0.41286,1.07889,0.97,1.03841,0.008317,0.008317,0.008317
19,4734.62,0.80893,0.51406,0.9158,0.67956,0.52985,0.58157,0.42609,1.09623,1.04697,1.0434,0.008218,0.008218,0.008218
20,4982.89,0.80486,0.5101,0.91196,0.6146,0.54335,0.5877,0.41908,1.07968,0.95463,1.03239,0.008119,0.008119,0.008119
21,5230.39,0.79876,0.50131,0.90977,0.69546,0.53783,0.57864,0.42376,1.08077,1.02924,1.03333,0.00802,0.00802,0.00802
22,5477.72,0.79544,0.49686,0.90707,0.66417,0.53783,0.57692,0.42089,1.08918,0.98862,1.03692,0.007921,0.007921,0.007921
23,5725.85,0.79312,0.49528,0.90676,0.60894,0.54947,0.59119,0.43182,1.08865,0.98835,1.03936,0.007822,0.007822,0.007822
24,5974.3,0.78763,0.49143,0.90581,0.60949,0.53037,0.5759,0.42618,1.08987,1.04794,1.03888,0.007723,0.007723,0.007723
25,6223.57,0.78411,0.48538,0.90417,0.56992,0.54707,0.56677,0.42047,1.06479,1.03006,1.02744,0.007624,0.007624,0.007624
26,6473,0.78194,0.4821,0.90101,0.64148,0.5363,0.57834,0.427,1.0705,1.01576,1.03263,0.007525,0.007525,0.007525
27,6721.63,0.77622,0.47993,0.89945,0.61527,0.54888,0.58396,0.43288,1.06143,1.0341,1.02266,0.007426,0.007426,0.007426
28,6971.38,0.77297,0.47106,0.89886,0.59365,0.53115,0.58177,0.42374,1.071,1.06472,1.02891,0.007327,0.007327,0.007327
29,7220.38,0.77016,0.4741,0.89735,0.55053,0.56099,0.57919,0.4307,1.06369,1.05118,1.02351,0.007228,0.007228,0.007228
30,7469.43,0.77394,0.47074,0.89959,0.6259,0.55063,0.58393,0.42944,1.07932,1.02696,1.03156,0.007129,0.007129,0.007129
31,7718,0.76733,0.46567,0.89721,0.58381,0.54204,0.56248,0.41932,1.07399,1.08879,1.0299,0.00703,0.00703,0.00703
32,7967.2,0.76725,0.46456,0.89707,0.60576,0.51839,0.57226,0.42398,1.07071,1.1114,1.03274,0.006931,0.006931,0.006931
33,8215.52,0.75985,0.45736,0.89602,0.56842,0.55064,0.58119,0.42419,1.06781,1.0254,1.02824,0.006832,0.006832,0.006832
34,8464.86,0.76112,0.45824,0.89432,0.66284,0.52994,0.57106,0.42526,1.05711,1.09833,1.02203,0.006733,0.006733,0.006733
35,8713.63,0.75494,0.45414,0.89262,0.56269,0.60118,0.59484,0.44003,1.06757,1.0395,1.0244,0.006634,0.006634,0.006634
36,8961.93,0.7518,0.44974,0.89242,0.65644,0.52599,0.59293,0.44056,1.06222,1.01653,1.02076,0.006535,0.006535,0.006535
37,9210.41,0.75146,0.44877,0.89277,0.61855,0.5315,0.57535,0.43392,1.06656,1.12802,1.03215,0.006436,0.006436,0.006436
38,9458.11,0.75252,0.44571,0.89299,0.67475,0.52357,0.59022,0.44117,1.06118,1.01411,1.02382,0.006337,0.006337,0.006337
39,9705.3,0.74669,0.44313,0.89106,0.63649,0.548,0.5669,0.42482,1.08029,1.09575,1.03513,0.006238,0.006238,0.006238
40,9953.3,0.74668,0.4416,0.88974,0.62799,0.54365,0.58397,0.43715,1.08284,1.09107,1.03856,0.006139,0.006139,0.006139
41,10202.1,0.74425,0.43956,0.88921,0.62877,0.51682,0.5803,0.43433,1.07579,1.11409,1.03507,0.00604,0.00604,0.00604
42,10450.1,0.74418,0.43778,0.89041,0.63764,0.53556,0.5715,0.43172,1.06356,1.12124,1.02866,0.005941,0.005941,0.005941
